name,telescope,exptime,jd,date,chip,band,readout,filename,note,field
F5968-121-R-a-8,MOA-II,121,2459619.901588,2022-02-09,8,R,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2022/F5968-121-R-a-8.fit.gz,good,flat_round
F6187-121-V-b-4,MOA-II,121,2460146.060661,2023-07-20,4,V,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2023/F6187-121-V-b-4.fit.gz,lower,flat_round
F5674-5-R-b-5,MOA-II,5,2459258.836586,2021-02-13,5,R,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2021/F5674-5-R-b-5.fit.gz,over,flat
F5648-10-R-a-4,MOA-II,10,2459257.847491,2021-02-12,4,R,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2021/F5648-10-R-a-4.fit.gz,over,flat
F6108-15-R-a-10,MOA-II,15,2459911.954784,2022-11-28,10,R,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2022/F6108-15-R-a-10.fit.gz,lower,flat
F6107-121-R-a-0,MOA-II,121,2459910.082896,2022-11-26,0,R,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2022/F6107-121-R-a-0.fit.gz,good,flat_round
F5773-30-R-a-1,MOA-II,30,2459262.856351,2021-02-17,1,R,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2021/F5773-30-R-a-1.fit.gz,good,flat
F6191-121-R-a-10,MOA-II,121,2460188.916525,2023-09-01,10,R,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2023/F6191-121-R-a-10.fit.gz,good,flat_round
F5866-15-R-a-1,MOA-II,15,2459523.841701,2021-11-05,1,R,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2021/F5866-15-R-a-1.fit.gz,good,flat
F5615-20-R-a-4,MOA-II,20,2459193.160213,2020-12-09,4,R,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2020/F5615-20-R-a-4.fit.gz,lower,flat
F5647-20-R-c-1,MOA-II,20,2459257.846435,2021-02-12,1,R,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2021/F5647-20-R-c-1.fit.gz,over,flat
F6409-121-R-b-6,MOA-II,121,2460478.283515,2024-06-16,6,R,-1,/home/phys/astro8/MJArchive/MOA/FLAT/F6409-121-R-b-6.fit.gz,good,flat_round
F5850-121-R-b-10,MOA-II,121,2459427.276446,2021-07-31,10,R,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2021/F5850-121-R-b-10.fit.gz,good,flat_round
F6155-121-V-a-99,MOA-II,121,2459966.936138,2023-01-22,99,V,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2023/F6155-121-V-a-99.fit.gz,good,flat_round
F6166-121-R-a-0,MOA-II,121,2460025.116444,2023-03-21,0,R,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2023/F6166-121-R-a-0.fit.gz,lower,flat_round
F5650-5-R-a-1,MOA-II,5,2459257.85127,2021-02-12,1,R,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2021/F5650-5-R-a-1.fit.gz,good,flat
F5796-5-R-a-99,MOA-II,5,2459263.226163,2021-02-17,99,R,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2021/F5796-5-R-a-99.fit.gz,good,flat
F5836-10-R-b-10,MOA-II,10,2459339.280405,2021-05-04,10,R,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2021/F5836-10-R-b-10.fit.gz,lower,flat
F5647-20-R-c-2,MOA-II,20,2459257.846435,2021-02-12,2,R,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2021/F5647-20-R-c-2.fit.gz,over,flat
F5742-10-R-a-1,MOA-II,10,2459262.222316,2021-02-16,1,R,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2021/F5742-10-R-a-1.fit.gz,good,flat
F5969-121-R-a-4,MOA-II,121,2459619.911476,2022-02-09,4,R,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2022/F5969-121-R-a-4.fit.gz,good,flat_round
F6039-121-R-a-2,MOA-II,121,2459847.161256,2022-09-24,2,R,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2022/F6039-121-R-a-2.fit.gz,lower,flat_round
F6168-121-R-b-2,MOA-II,121,2460025.134309,2023-03-21,2,R,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2023/F6168-121-R-b-2.fit.gz,lower,flat_round
F6031-121-I-a-5,MOA-II,121,2459830.035809,2022-09-07,5,I,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2022/F6031-121-I-a-5.fit.gz,good,flat_round
F6161-121-R-b-4,MOA-II,121,2459983.154686,2023-02-07,4,R,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2023/F6161-121-R-b-4.fit.gz,good,flat_round
F5843-121-R-a-8,MOA-II,121,2459420.205815,2021-07-24,8,R,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2021/F5843-121-R-a-8.fit.gz,good,flat_round
F5975-121-V-c-0,MOA-II,121,2459620.955133,2022-02-10,0,V,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2022/F5975-121-V-c-0.fit.gz,good,flat_round
F5618-5-R-a-99,MOA-II,5,2459193.175065,2020-12-09,99,R,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2020/F5618-5-R-a-99.fit.gz,good,flat
F5782-30-R-a-5,MOA-II,30,2459263.212839,2021-02-17,5,R,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2021/F5782-30-R-a-5.fit.gz,lower,flat
F5949-121-R-a-1,MOA-II,121,2459594.895909,2022-01-15,1,R,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2022/F5949-121-R-a-1.fit.gz,over,flat_round
F6077-121-R-a-3,MOA-II,121,2459901.87213,2022-11-18,3,R,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2022/F6077-121-R-a-3.fit.gz,over,flat_round
