name,band,telescope,exptime,jd,date,filename,note
flats_20220904-0009_r,r,B&C,7.0,2459827.2757855323,2022-09-04T18:37:07.87,/home/phys/astro8/MJArchive/octans/20220904/flats_20220904-0009_r.fit,good
Flat20220908-0014_g,g,B&C,5.0,2459830.779483912,2022-09-08T06:42:27.41,/home/phys/astro8/MJArchive/octans/20220908/Flat20220908-0014_g.fit,good
flats_20220904-0007_OIII,OIII,B&C,10.0,2459827.2867453704,2022-09-04T18:52:54.80,/home/phys/astro8/MJArchive/octans/20220904/flats_20220904-0007_OIII.fit,good
flat_20220903-0008OIII,OIII,B&C,20.0,2459825.2854114585,2022-09-02T18:50:59.55,/home/phys/astro8/MJArchive/octans/20220903/flat_20220903-0008OIII.fit,good
flat-0010r,r,,0.1,2459603.874992477,2022-01-24T08:59:59.35,/home/phys/astro8/MJArchive/octans/20220124/flat-0010r.fit,lower
Flat-0020ii,i,,0.1,2458725.7081712964,2019-08-30T04:59:46,/home/phys/astro8/MJArchive/octans/20190830/Flat-0020ii.fit,good
flats-0002V,V,,6.0,2459605.209052778,2022-01-25T17:01:02.16,/home/phys/astro8/MJArchive/octans/20220125/flats-0002V.fit,good
Flat-0013rr,r,,5.0,2458725.6855092593,2019-08-30T04:27:08,/home/phys/astro8/MJArchive/octans/20190830/Flat-0013rr.fit,over
flat-0002_r,r,,18.0,2459606.8625438656,2022-01-27T08:42:03.79,/home/phys/astro8/MJArchive/octans/20220127/flat-0002_r.fit,good
flat_20220903-0009g,g,B&C,5.0,2459825.2772916667,2022-09-02T18:39:18.00,/home/phys/astro8/MJArchive/octans/20220902/flat_20220903-0009g.fit,good
Flat-0023R,R,,0.6,2458725.7159722224,2019-08-30T05:11:00,/home/phys/astro8/MJArchive/octans/20190830/Flat-0023R.fit,good
Flat-0009i,i,,5.0,2459682.2833828703,2022-04-12T18:48:04.28,/home/phys/astro8/MJArchive/octans/20220412/Flat-0009i.fit,over
